# BUSCO version is: 3.0.2 
# The lineage dataset is: saccharomycetales_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1711)
# To reproduce this run: python /share/apps/busco/3.0.2b/scripts/run_BUSCO.py -i /srv/scratch/z3452659/BUSCOMP-Jan19/dev/2019-05-07.YeastExample/fasta/MBG344WTDBG2.fsa -o MBG344WTDBG2 -l /srv/scratch/z3452659/BUSCOMP-Jan19/data/2019-04-25.BUSCO/saccharomycetales_odb9/ -m genome -c 28 -t $TMPDIR/ -sp saccharomyces_cerevisiae_S288C
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092E002L	Complete	ctg1	149120	154075	2686.4	1432
EOG092E003C	Fragmented	ctg5	118681	130240	3618.9	1885
EOG092E003R	Complete	ctg7	568331	574974	3721.5	1866
EOG092E004V	Complete	ctg10	328184	338882	1889.4	1433
EOG092E0056	Complete	ctg7	366966	372017	1397.1	1281
EOG092E006L	Complete	ctg8	96707	106543	2848.2	1523
EOG092E006M	Complete	ctg6	409535	414505	1881.6	1152
EOG092E008X	Complete	ctg2	497468	501256	1253.5	987
EOG092E0093	Complete	ctg3	833866	839488	3193.9	1704
EOG092E00BH	Complete	ctg2	534717	544062	2480.7	1268
EOG092E00D4	Missing
EOG092E00DZ	Complete	ctg1	1061649	1074427	1221.3	1043
EOG092E00EB	Fragmented	ctg2	861034	870289	1618.8	1018
EOG092E00FY	Fragmented	ctg2	949519	958613	1077.4	1068
EOG092E00IH	Complete	ctg10	179275	188269	1618.8	1078
EOG092E00IR	Fragmented	ctg8	605715	618676	1807.2	1050
EOG092E00IX	Complete	ctg3	329365	332999	1083.5	762
EOG092E00JH	Fragmented	ctg17	115802	129172	1476.2	832
EOG092E00KQ	Fragmented	ctg11	60113	69499	1684.4	1023
EOG092E00MC	Fragmented	ctg14	161847	172037	471.7	685
EOG092E00MO	Complete	ctg7	395016	398237	712.2	687
EOG092E00MX	Complete	ctg3	367172	370783	2055.0	1050
EOG092E00P3	Complete	ctg3	414946	418632	1462.9	993
EOG092E00PZ	Complete	ctg6	705429	714111	1187.9	916
EOG092E00TC	Complete	ctg7	107795	111151	1912.4	977
EOG092E00UI	Complete	ctg2	155424	158774	435.9	542
EOG092E00UK	Fragmented	ctg8	458689	468694	719.2	660
EOG092E00V4	Complete	ctg6	90983	102462	601.7	797
EOG092E00VC	Complete	ctg4	72851	76066	1549.2	891
EOG092E00WY	Fragmented	ctg1	64121	76425	1142.3	740
EOG092E00Y9	Complete	ctg16	282796	284967	485.2	495
EOG092E010F	Missing
EOG092E0127	Complete	ctg5	564186	569705	109.9	416
EOG092E012Q	Fragmented	ctg16	95166	107897	1680.9	851
EOG092E012X	Fragmented	ctg3	745666	753703	648.5	612
EOG092E013Z	Complete	ctg1	1322361	1330247	1122.8	799
EOG092E014D	Complete	ctg5	401487	404657	1803.0	949
EOG092E015E	Fragmented	ctg2	277477	285433	1569.9	869
EOG092E015U	Complete	ctg8	969556	972519	1490.6	820
EOG092E017U	Missing
EOG092E018S	Complete	ctg9	63235	73028	701.8	581
EOG092E019I	Complete	ctg10	169622	172549	1272.8	829
EOG092E01AQ	Complete	ctg2	147521	150415	1235.4	783
EOG092E01BF	Fragmented	ctg1	187987	198140	1194.5	722
EOG092E01BH	Complete	ctg8	668981	674308	1844.7	952
EOG092E01CD	Complete	ctg7	68074	71219	962.4	800
EOG092E01CN	Complete	ctg16	327621	330461	1021.8	743
EOG092E01CV	Complete	ctg1	1119129	1122236	940.7	710
EOG092E01EH	Complete	ctg9	112365	115469	289.8	419
EOG092E01FI	Complete	ctg6	720019	722658	1330.9	805
EOG092E01GF	Complete	ctg3	84420	87128	1448.4	777
EOG092E01GH	Complete	ctg2	633738	636656	1028.2	801
EOG092E01JR	Complete	ctg14	309417	312164	503.5	511
EOG092E01K6	Fragmented	ctg5	680196	692054	1051.9	685
EOG092E01KS	Complete	ctg8	186603	189455	1461.8	802
EOG092E01LL	Complete	ctg3	635343	638033	611.3	581
EOG092E01MA	Fragmented	ctg9	446752	458602	916.6	615
EOG092E01Q5	Complete	ctg12	160220	162676	1064.9	698
EOG092E01QS	Complete	ctg11	380679	383450	785.6	635
EOG092E01QT	Complete	ctg1	938719	942420	1369.7	812
EOG092E01SA	Missing
EOG092E01SJ	Complete	ctg11	287024	290299	1300.3	695
EOG092E01SS	Fragmented	ctg5	385248	397505	474.6	519
EOG092E01TN	Complete	ctg10	451830	454457	1159.5	784
EOG092E01U5	Complete	ctg6	633350	634684	314.1	283
EOG092E01VL	Complete	ctg11	87697	90102	587.4	542
EOG092E01WO	Complete	ctg1	1395100	1399558	701.1	613
EOG092E01YA	Fragmented	ctg8	206192	217636	1227.4	770
EOG092E01Z9	Complete	ctg7	349917	352385	556.8	545
EOG092E01ZV	Complete	ctg8	216497	219897	414.6	687
EOG092E01ZY	Complete	ctg14	390381	392893	1032.2	668
EOG092E0201	Complete	ctg7	468272	470511	745.6	570
EOG092E0217	Complete	ctg10	245690	248275	1251.1	764
EOG092E021E	Complete	ctg8	83936	86353	795.3	532
EOG092E021H	Complete	ctg16	57693	60224	1519.3	693
EOG092E0232	Complete	ctg6	248169	260246	620.1	577
EOG092E0242	Complete	ctg2	589786	592496	580.9	496
EOG092E024N	Fragmented	ctg8	437448	448754	837.2	633
EOG092E024S	Complete	ctg12	368687	371566	921.1	666
EOG092E024Y	Missing
EOG092E024Z	Complete	ctg1	372948	384761	769.6	620
EOG092E025V	Complete	ctg12	156972	159953	1336.7	755
EOG092E0278	Complete	ctg9	293873	296518	632.5	661
EOG092E02CK	Complete	ctg4	620792	623565	579.7	751
EOG092E02DU	Complete	ctg11	243563	245866	1349.8	694
EOG092E02E3	Complete	ctg3	321413	323911	850.0	651
