# BUSCO version is: 3.0.2 
# The lineage dataset is: saccharomycetales_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1711)
# To reproduce this run: python /share/apps/busco/3.0.2b/scripts/run_BUSCO.py -i /srv/scratch/z3452659/BUSCOMP-Jan19/dev/2019-05-07.YeastExample/fasta/SGDR64.2.1.fsa -o SGDR64.2.1 -l /srv/scratch/z3452659/BUSCOMP-Jan19/data/2019-04-25.BUSCO/saccharomycetales_odb9/ -m genome -c 28 -t $TMPDIR/ -sp saccharomyces_cerevisiae_S288C
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092E002L	Complete	sgdIV_YEAST__BK006938	149203	155640	3599.8	1906
EOG092E003C	Complete	sgdXIV_YEAST__BK006947	654673	661374	3763.8	1938
EOG092E003R	Complete	sgdX_YEAST__BK006943	165723	172367	3707.8	1856
EOG092E004V	Complete	sgdXII_YEAST__BK006945	738161	743863	2101.8	1542
EOG092E0056	Complete	sgdX_YEAST__BK006943	368748	373799	1397.1	1281
EOG092E006L	Complete	sgdVII_YEAST__BK006941	102543	107504	2929.8	1523
EOG092E006M	Complete	sgdXIII_YEAST__BK006946	578951	583921	1881.6	1152
EOG092E008X	Complete	sgdXV_YEAST__BK006948	497506	502452	1512.1	1206
EOG092E0093	Complete	sgdXVI_YEAST__BK006949	108652	114315	3220.2	1714
EOG092E00BH	Complete	sgdXV_YEAST__BK006948	539763	544145	2564.0	1272
EOG092E00D4	Complete	sgdX_YEAST__BK006943	684567	689321	1549.2	1168
EOG092E00DZ	Complete	sgdIV_YEAST__BK006938	1063352	1067425	1404.1	1076
EOG092E00EB	Complete	sgdXV_YEAST__BK006948	861175	865593	1691.5	1047
EOG092E00FY	Complete	sgdXV_YEAST__BK006948	949773	953870	1111.1	1104
EOG092E00IH	Complete	sgdXII_YEAST__BK006945	888851	892849	1659.2	1082
EOG092E00IR	Complete	sgdVII_YEAST__BK006941	611889	615965	2117.5	1129
EOG092E00IX	Complete	sgdXVI_YEAST__BK006949	615379	619014	1098.4	782
EOG092E00JH	Complete	sgdI_YEAST__BK006935	95630	99697	1966.7	1013
EOG092E00KQ	Complete	sgdV_YEAST__BK006939	505392	509798	1830.8	1070
EOG092E00MC	Complete	sgdXII_YEAST__BK006945	296589	300251	699.7	830
EOG092E00MO	Complete	sgdXII_YEAST__BK006945	915156	919019	1541.2	901
EOG092E00MX	Complete	sgdXVI_YEAST__BK006949	576076	581196	2170.0	1054
EOG092E00P3	Complete	sgdXVI_YEAST__BK006949	529723	533409	1462.9	993
EOG092E00PZ	Complete	sgdXIII_YEAST__BK006946	874987	878679	1305.2	975
EOG092E00TC	Complete	sgdX_YEAST__BK006943	629491	632941	1909.5	974
EOG092E00UI	Complete	sgdXV_YEAST__BK006948	155287	158637	435.9	542
EOG092E00UK	Complete	sgdVII_YEAST__BK006941	461666	464911	1024.1	906
EOG092E00V4	Missing
EOG092E00VC	Complete	sgdII_YEAST__BK006936	81043	84261	1811.9	950
EOG092E00WY	Complete	sgdIV_YEAST__BK006938	70640	73918	1394.8	834
EOG092E00Y9	Complete	sgdIX_YEAST__BK006942	304477	307929	587.5	735
EOG092E010F	Complete	sgdVII_YEAST__BK006941	837142	840558	902.5	637
EOG092E0127	Complete	sgdXIV_YEAST__BK006947	211922	214600	196.7	479
EOG092E012Q	Complete	sgdIX_YEAST__BK006942	122689	125733	1806.3	892
EOG092E012X	Complete	sgdXVI_YEAST__BK006949	199495	202536	719.5	710
EOG092E013Z	Complete	sgdIV_YEAST__BK006938	1325501	1328470	1276.5	821
EOG092E014D	Complete	sgdXIV_YEAST__BK006947	375321	378491	1800.7	949
EOG092E015E	Complete	sgdXV_YEAST__BK006948	282421	285426	1671.4	883
EOG092E015U	Complete	sgdVII_YEAST__BK006941	970771	973734	1490.6	820
EOG092E017U	Complete	sgdII_YEAST__BK006936	147209	150286	812.4	731
EOG092E018S	Complete	sgdXI_YEAST__BK006944	70734	73865	861.1	680
EOG092E019I	Complete	sgdXII_YEAST__BK006945	899577	902504	1272.8	829
EOG092E01AQ	Complete	sgdXV_YEAST__BK006948	147382	150276	1235.4	783
EOG092E01BF	Complete	sgdIV_YEAST__BK006938	194571	198176	1822.5	1042
EOG092E01BH	Complete	sgdVII_YEAST__BK006941	672324	675500	1878.6	954
